Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,C15008
"C2, C23, C24, C26, C28, C29, C3, C32, C34, C35, C37, C4, C5, C6, C88",0603,15,100nF,C14663
"C22, C30, C36",0603,3,4.7uF,C19666
"C25, C27",0603,2,1uF,C15849
"C7, C89",0603,2,10uF,C19702
D1,D_0805,1,SYS,C2297
"D2, ED10, ED11, ED12, ED13, ED14, ED15, ED16, ED18, ED2, ED3, ED4, ED5, ED8, ED9",0402,15,ESD5341N,C20612964
D3,D_SOD-123F,1,MBR230SFT,C5377812
D4,D_SOD-123F,1,SMF5.0A,C19077498
D5,D_0805,1,USER,C2297
"ED1, ED17",0402,2,ESD5451N,C2936977
FB1,0603,1,330Ω@100MHz,C88989
H4,FPC_1x22_P0.5mm_Horizontal_BottomContact,1,Conn_01x22_FPC_0.5mm,C262668
"H5, H6",TYPE-C_16PIN_2MD_073,2,TYPE-C_16PIN_2MD__073_,C2765186
J1,HANRUN_HR911105A,1,HR911105A,C12074
J2,TF-SMD_TF-110,1,TF-110,C266613
KEY1,SW_TS-1088-AR02016,1,RESET,C720477
KEY2,SW_TS-1088-AR02016,1,RECOVERY,C720477
Q5,Q_SOT-23,1,SI2301CDS-T1-GE3,C10487
"R1, R2, R4",0603,3,56k,C23206
"R10, R11",0603,2,3.3k,C22978
"R101, R16",0603,2,470R,C23179
"R110, R114, R14, R15, R42, R44, R48, R6, R65, R7",0603,10,22R,C23345
"R111, R17, R78, R81",0603,4,1k,C21190
"R12, R133, R60, R67, R70, R84",0603,6,10k,C25804
"R124, R136",0603,2,5.1k,C23186
"R13, R21, R24",0603,3,0R,C21189
"R25, R26",0603,2,510R,C23193
"R3, R66",0603,2,100k,C25803
"R30, R33, R34",0603,3,100R,C22775
"R38, R45, R49, R50, R61, R68",0603,6,4.7K,C23162
R5,R_0603x4,1,2.2Ω,C12002
R54,0603,1,1.8k,C4177
R59,R_0603x4,1,22R,C12008
"R8, R9",0603,2,2.2Ω,C22939
"T1, T3",Q_SOT-23,2,SS8050 200-350,C2150
T2,SOT23-3,1,MMBT3906,C2149
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,CH182H2,C41427683
U7,SOT-23-6,1,TPS2553DBVR,C55266
