Designator,Mid X,Mid Y,Rotation,Layer
C1,105.5,-130.0,0.0,top
C2,165.89,-124.225,270.0,top
C22,157.10944,-126.868671,0.0,top
C23,160.158365,-125.724206,0.0,top
C24,147.257,-135.0,270.0,top
C25,148.934,-135.0,270.0,top
C26,143.055,-130.675833,180.0,top
C27,143.055,-132.36,180.0,top
C28,150.611,-135.0,270.0,top
C29,145.58,-135.0,270.0,top
C3,165.89,-127.5,90.0,top
C30,158.225,-137.0,0.0,top
C32,157.160658,-124.369143,0.0,top
C34,117.23,-89.325,0.0,top
C35,121.225,-88.825,180.0,top
C36,117.04,-100.515,90.0,top
C37,115.54,-100.515,270.0,top
C4,117.5,-128.725,270.0,top
C5,116.0,-128.725,270.0,top
C6,135.5,-128.5,270.0,top
C7,134.0,-128.5,270.0,top
C88,121.725,-127.075,180.0,top
C89,121.775,-125.075,180.0,top
D1,184.5,-103.12,270.0,top
D2,109.54,-95.47,270.0,top
D3,125.9,-128.5,180.0,top
D4,125.9,-125.0,180.0,top
D5,184.5,-107.0,90.0,top
ED1,103.485,-128.0,180.0,top
ED10,124.0,-99.515,90.0,top
ED11,124.0,-103.515,270.0,top
ED12,124.0,-101.485,90.0,top
ED13,123.915,-93.53,270.0,top
ED14,123.915,-95.5,90.0,top
ED15,119.51,-107.455,180.0,top
ED16,119.515,-106.055,180.0,top
ED17,118.0,-124.0,270.0,top
ED18,119.5,-109.07,180.0,top
ED2,118.985,-110.47,180.0,top
ED3,182.5,-80.19,90.0,top
ED4,127.235,-116.97,180.0,top
ED5,182.5,-84.16,270.0,top
ED8,108.055,-95.47,90.0,top
ED9,123.915,-97.53,90.0,top
FB1,144.0,-135.0,90.0,top
FID1,111.874197,-87.730422,0.0,top
FID2,172.623311,-112.308031,0.0,top
FID3,101.77196,-115.127717,0.0,top
H1,148.37,-79.61938,90.0,top
H4,135.25,-134.0,0.0,bottom
H5,120.39,-135.505,0.0,top
H6,109.76,-135.53,0.0,top
J1,176.428,-130.0,90.0,top
J2,108.5,-103.5,270.0,top
KEY1,185.5,-81.575,270.0,top
KEY2,185.5,-88.925,90.0,top
Q5,120.94,-91.875,180.0,top
R1,103.51,-134.11,270.0,top
R10,118.0,-83.0,270.0,top
R101,182.5,-103.235,90.0,top
R11,116.0,-83.0,270.0,top
R110,126.865,-105.705,180.0,top
R111,176.5,-103.235,270.0,top
R114,126.865,-107.58,180.0,top
R12,137.0,-128.5,90.0,top
R124,126.51,-134.11,270.0,top
R13,146.0,-122.675,90.0,top
R133,126.865,-113.205,180.0,top
R136,126.51,-137.46,270.0,top
R14,118.0,-79.675,270.0,top
R15,116.025,-79.675,270.0,top
R16,182.5,-106.885,270.0,top
R17,176.5,-106.885,270.0,top
R2,103.51,-137.46,90.0,top
R21,154.5,-125.175,90.0,top
R24,165.525,-136.985,270.0,top
R25,184.175,-119.0,180.0,top
R26,180.825,-119.0,0.0,top
R3,106.5,-128.0,0.0,top
R30,177.0,-81.175,270.0,top
R33,126.865,-115.29,0.0,top
R34,179.0,-81.175,90.0,top
R38,155.325,-128.5,0.0,top
R4,115.755,-123.95,0.0,top
R42,162.5,-129.325,90.0,top
R44,154.5,-135.055,90.0,top
R45,143.0,-125.098333,180.0,top
R48,143.0,-123.204167,0.0,top
R49,157.173,-130.38,0.0,top
R5,132.3,-122.865,0.0,top
R50,152.393,-135.055,270.0,top
R54,143.173,-120.43,0.0,top
R59,126.88,-98.305,270.0,top
R6,126.865,-109.455,180.0,top
R60,104.84,-86.795,0.0,top
R61,157.173,-132.33,0.0,top
R65,126.89,-101.205,180.0,top
R66,117.175,-91.225,0.0,top
R67,123.88,-91.0,90.0,top
R68,143.0,-128.886667,180.0,top
R7,126.865,-111.33,180.0,top
R70,126.0,-91.05,90.0,top
R78,107.99,-86.795,180.0,top
R8,137.0,-122.85,270.0,top
R81,105.04,-95.47,270.0,top
R84,106.865,-92.195,0.0,top
R9,135.1725,-122.85,270.0,top
T1,179.44,-103.11,180.0,top
T2,106.49,-89.4,90.0,top
T3,179.44,-107.01,180.0,top
TP1,161.5,-138.0,90.0,top
TP10,166.5,-139.5,0.0,top
TP3,120.5,-120.5,180.0,top
TP4,102.0,-117.5,270.0,top
TP5,106.5,-112.0,90.0,top
TP6,124.0,-120.5,90.0,top
TP7,102.0,-90.0,0.0,top
TP8,176.5,-78.0,270.0,top
TP9,187.5,-115.0,90.0,top
U5,150.143,-128.5975,90.0,top
U7,110.125,-128.05,0.0,top
